14C Lab No.,Site Code,Locality,14C,1  Sigma
17565,NMC13532,Gold Run YT,34500,1800
17566,NMC8140,Dawson area,28400,840
17567,NMC9925,Hunker Cr.,33800,1600
17568,NMC8139,Dominion Cr.,35600,greater than
17569,NMC45673,Dawson area,26800,690
17570,NMC2222,Collinson Pt AK,37700,2600
17577,NMC49927,Dawson area,37100,greater than
17578,NMC11338,Yaya Lake NWT,36400,22
17579,NMC14920,Old Crow YT,38500,2900
17580,NMC6744,Yukon R. YT,35500,greater than
17581,NMC50070B,Porcupine R.YT,36700,greater than
17582,NMC47586,Hunker Cr. YT,33900,1700
17583,NMC49562,Parson's L.NWT,37500,greater than
17584,NMC17612,Hershel Is. YT,29180,950
17585,NMC42099,Carmaks area,38400,2800
17586,NMC42068,Carmaks area,38500,greater than
17587,NMC42181,60mi. YT,40300,greater than
17588,NMC47585,Dawson area,39800,3400
17597,NMC6598,Loon R. AB                 4,40800,greater than
17600,NMC17697,"Taylor, BC",31400,1200
17584,NMC17612,Hershel Is.  YT,28180,950
17600,NMC17697,"Taylor, BC",31400,1200
17589,NMC17623,Battleford Sask,32000,1300
17582,NMC47586,Hunker Cr. YT,33900,1700
17580,NMC6744,Yukon R. YT,35550,greater than
17575,NMC6745,Norton Snd.,36500,2300
17581,NMC50070B,Porcupine R.YT,36700,greater than
17583,NMC49562,Prarson'sL NWT          37500,,greater than
17585,NMC42099,Carmaks Area             ,38400,2800
17586,NMC42068,Carmaks area,38500,greater than
17588,NMC47585,Dawson area,39800,3400
17587,NMC42181,60mi. YT,40300,greater than
