radiocarbon_id,14C age,error
1747,2597,41
2500,2600,28
2110,2600,35
1815,2600,50
2608,2603,22
1165,2605,33
2799,2605,85
652,2605,85
1374,2606,27
6,2607,38
842,2609,28
663,2610,50
488,2610,50
2541,2610,40
1521,2610,32
574,2610,80
39,2610,70
1350,2612,56
419,2615,75
1560,2617,32
2228,2620,30
1667,2620,60
2804,2620,50
2803,2620,50
37,2625,60
1791,2625,31
2096,2625,35
1557,2630,40
2130,2630,40
1469,2630,40
1686,2630,24
1577,2630,
437,2630,45
2446,2630,55
418,2630,50
2271,2630,30
2424,2632,40
822,2635,27
611,2638,39
1574,2639,32
1213,2640,40
1809,2640,50
1965,2640,45
1470,2640,40
1247,2640,21
2062,2640,45
438,2640,45
85,2640,80
1704,2640,66
1566,2643,23
2089,2645,40
41,2646,24
1129,2650,40
426,2650,80
664,2650,70
2834,2653,43
1049,2655,35
429,2660,70
2833,2660,30
562,2660,40
553,2660,40
2667,2660,70
651,2660,80
2798,2660,80
1283,2660,40
7,2660,30
1721,2661,30
617,2661,39
151,2662,54
2170,2665,35
466,2665,15
434,2665,50
1178,2669,21
1570,2669,29
796,2670,20
1898,2676,30
160,2679,23
1564,2680,40
1135,2680,40
660,2680,25
2385,2680,70
499,2685,115
1638,2688,38
1164,2689,34
1555,2690,40
2857,2690,35
654,2690,20
662,2690,30
1550,2690,40
1428,2690,70
480,2690,45
2853,2690,35
1414,2691,34
698,2694,35
2357,2695,40
2638,2695,21
2248,2695,30
1632,2695,25
1792,2696,25
1635,2697,38
2591,2700,31
1808,2700,50
1551,2700,40
447,2700,35
2815,2700,20
83,2700,40
2435,2700,60
454,2702,49
2504,2705,25
619,2705,58
430,2705,70
2613,2708,23
1249,2708,39
1133,2710,40
1315,2710,40
1575,2710,40
2244,2710,30
661,2710,40
1471,2710,40
2188,2710,35
1633,2710,32
1907,2712,21
1505,2712,19
1298,2713,40
2865,2715,35
1594,2715,35
2262,2715,40
13,2715,30
2499,2716,31
1236,2716,27
2058,2716,23
1900,2717,30
1143,2717,35
1142,2718,35
1180,2718,33
2494,2719,30
2497,2720,26
1386,2720,60
1402,2720,24
1130,2720,40
1246,2722,20
1826,2723,23
1849,2724,49
432,2725,55
1587,2725,37
1497,2726,24
1194,2726,21
1347,2728,30
1960,2728,30
1720,2729,32
614,2729,39
2816,2730,30
2342,2730,40
1458,2730,40
1156,2730,60
449,2730,50
435,2730,45
443,2730,50
2423,2730,34
1439,2730,100
1160,2733,39
12,2734,36
841,2735,30
2650,2735,27
1885,2735,32
1373,2735,35
1865,2736,30
2255,2738,27
2495,2738,29
1864,2738,26
1652,2738,20
700,2739,35
1445,2739,22
1134,2740,40
668,2740,70
2849,2740,25
1199,2740,23
1816,2740,50
2177,2740,35
1634,2740,23
452,2740,80
1793,2741,22
699,2741,35
1412,2742,28
2598,2742,21
1840,2744,25
1409,2744,35
807,2745,29
2356,2745,40
433,2745,25
821,2746,26
2642,2747,32
1607,2748,23
768,2749,38
2218,2750,40
462,2750,75
2063,2750,26
2275,2750,40
1576,2750,40
2563,2750,60
2221,2750,70
2224,2750,70
774,2750,80
1304,2750,50
1915,2750,60
442,2750,70
2312,2750,70
1869,2752,26
1493,2753,26
1580,2753,23
2281,2754,30
1716,2755,32
1168,2755,24
1390,2755,20
2511,2756,61
1254,2756,26
521,2756,32
759,2756,38
1567,2757,30
1292,2757,32
1013,2757,42
1841,2757,20
1211,2758,19
1243,2758,25
1398,2758,29
2198,2758,31
1179,2759,26
1186,2759,34
1821,2759,21
2577,2760,50
2493,2760,27
2088,2760,40
1136,2760,40
458,2760,35
2354,2760,50
1482,2760,60
2105,2760,60
1124,2760,60
790,2760,40
1926,2760,50
2313,2760,60
2318,2760,70
1012,2761,34
831,2762,32
1363,2762,21
1328,2763,36
1327,2763,36
2590,2763,22
1893,2765,24
457,2765,35
2107,2765,35
2246,2765,30
2592,2765,31
1875,2765,80
1561,2766,31
1544,2766,33
1263,2767,29
2064,2767,25
2261,2768,24
1739,2769,35
1588,2769,37
1314,2770,40
57,2770,20
2537,2770,40
2167,2770,40
1306,2770,40
1305,2770,40
1324,2770,35
1722,2770,32
2600,2770,22
1857,2770,80
467,2770,80
475,2770,55
2222,2770,60
1804,2770,40
1843,2771,27
2582,2771,28
1690,2772,27
161,2772,38
1892,2773,26
1205,2774,38
2644,2775,38
2148,2775,26
741,2775,30
1717,2778,32
1554,2780,40
1559,2780,40
1552,2780,40
2111,2780,35
2176,2780,35
2526,2780,40
1438,2780,40
1579,2780,40
1532,2780,40
2433,2780,60
2836,2780,30
127,2780,90
746,2780,40
1424,2780,90
1119,2780,60
2627,2780,35
477,2780,50
1884,2781,28
1798,2782,21
2496,2783,35
2649,2783,38
1188,2783,25
1206,2784,28
444,2785,35
2079,2785,35
1048,2785,35
2585,2785,21
605,2786,40
1330,2786,40
1724,2787,32
1891,2787,24
1882,2788,34
1240,2788,21
1248,2788,24
1785,2788,26
1609,2789,24
1011,2789,33
445,2790,35
1128,2790,40
67,2790,80
2149,2791,26
1090,2791,21
1786,2792,31
1344,2793,30
474,2795,35
1845,2795,20
1769,2795,24
2201,2795,30
448,2795,35
1710,2796,22
2831,2796,47
2304,2796,36
2885,2796,32
1062,2799,27
2599,2799,22
2411,2799,28
908,2800,22
1788,2800,22
2109,2800,35
2595,2800,22
1277,2800,60
2432,2800,70
788,2800,35
2587,2801,23
1140,2801,27
1299,2803,40
1719,2803,31
1850,2803,37
1748,2803,29
1175,2804,33
2326,2804,31
2691,2805,35
1411,2805,23
2121,2805,35
1014,2805,33
431,2805,45
879,2805,20
2814,2806,24
1842,2806,22
1770,2808,23
1527,2808,33
1782,2808,22
1177,2809,20
1718,2809,33
2547,2810,50
918,2810,50
2102,2810,35
1275,2810,40
2250,2810,30
1381,2810,35
2647,2810,50
1913,2810,50
1495,2810,40
1896,2810,25
2217,2810,60
1606,2810,60
